prefecture,designated_cities,city
東京都,三宅支庁,三宅村
東京都,三宅支庁,御蔵島村
東京都,八丈支庁,
東京都,八丈支庁,八丈町
東京都,八丈支庁,青ヶ島村
東京都,小笠原支庁,
東京都,小笠原支庁,小笠原村
神奈川県,横浜市,
神奈川県,横浜市,鶴見区
神奈川県,横浜市,神奈川区
神奈川県,横浜市,西区
神奈川県,横浜市,中区
神奈川県,横浜市,南区
神奈川県,横浜市,保土ケ谷区
神奈川県,横浜市,磯子区
神奈川県,横浜市,金沢区
神奈川県,横浜市,港北区
神奈川県,横浜市,戸塚区
神奈川県,横浜市,港南区
神奈川県,横浜市,旭区
神奈川県,横浜市,緑区
神奈川県,横浜市,瀬谷区
神奈川県,横浜市,栄区
神奈川県,横浜市,泉区
神奈川県,横浜市,青葉区
神奈川県,横浜市,都筑区
神奈川県,川崎市,
神奈川県,川崎市,川崎区
神奈川県,川崎市,幸区
神奈川県,川崎市,中原区
神奈川県,川崎市,高津区
神奈川県,川崎市,多摩区
神奈川県,川崎市,宮前区
神奈川県,川崎市,麻生区
神奈川県,相模原市,
神奈川県,相模原市,緑区
神奈川県,相模原市,中央区
神奈川県,相模原市,南区
神奈川県,,横須賀市
神奈川県,,平塚市
神奈川県,,鎌倉市
神奈川県,,藤沢市
神奈川県,,小田原市
神奈川県,,茅ヶ崎市
神奈川県,,逗子市
神奈川県,,三浦市
神奈川県,,秦野市
神奈川県,,厚木市
神奈川県,,大和市
神奈川県,,伊勢原市
神奈川県,,海老名市
神奈川県,,座間市
神奈川県,,南足柄市
神奈川県,,綾瀬市
神奈川県,三浦郡,
神奈川県,三浦郡,葉山町
神奈川県,高座郡,
神奈川県,高座郡,寒川町
神奈川県,中郡,
神奈川県,中郡,大磯町
神奈川県,中郡,二宮町
神奈川県,足柄上郡,
神奈川県,足柄上郡,中井町
神奈川県,足柄上郡,大井町
神奈川県,足柄上郡,松田町
神奈川県,足柄上郡,山北町
神奈川県,足柄上郡,開成町
神奈川県,足柄下郡,
神奈川県,足柄下郡,箱根町
神奈川県,足柄下郡,真鶴町
神奈川県,足柄下郡,湯河原町
神奈川県,愛甲郡,
神奈川県,愛甲郡,愛川町
神奈川県,愛甲郡,清川村
